date,hour,demand
2021-03-05,17,101
2021-03-05,18,99
2021-03-05,19,92
2021-03-05,20,87
2021-03-05,21,84
2021-03-05,22,77
2021-03-05,23,70
2021-03-06,0,65
2021-03-06,1,60
2021-03-06,2,60
2021-03-06,4,56
2021-03-06,7,64
2021-03-06,8,72
2021-03-06,9,85
2021-03-06,10,91
2021-03-06,11,106
2021-03-06,12,118
2021-03-06,13,124
2021-03-06,14,123
2021-03-06,15,122
2021-03-06,16,119
2021-03-06,17,115
2021-03-06,18,112
2021-03-06,19,102
2021-03-06,20,92
2021-03-06,21,87
2021-03-06,22,80
2021-03-06,23,73
2021-03-07,0,60
2021-03-07,1,54
2021-03-07,2,55
2021-03-07,3,51
2021-03-07,4,49
2021-03-07,5,49
2021-03-07,7,54
2021-03-07,8,62
2021-03-07,9,72
2021-03-07,10,76
2021-03-07,11,91
2021-03-07,12,101
2021-03-07,13,107
2021-03-07,14,106
2021-03-07,15,106
2021-03-07,16,102
2021-03-07,17,98
2021-03-07,18,94
2021-03-07,19,88
2021-03-07,20,79
2021-03-07,21,74
2021-03-07,22,68
2021-03-07,23,62
2021-03-08,0,51
2021-03-08,1,46
2021-03-08,2,46
2021-03-08,3,46
2021-03-08,4,47
2021-03-08,6,55
2021-03-08,7,61
2021-03-08,8,71
2021-03-08,9,76
2021-03-08,10,72
2021-03-08,11,70
2021-03-08,12,77
2021-03-08,13,76
2021-03-08,14,73
2021-03-08,15,74
2021-03-08,16,79
2021-03-08,17,84
2021-03-08,18,85
2021-03-08,19,82
2021-03-08,20,75
2021-03-08,21,68
2021-03-08,22,64
2021-03-08,23,58
2021-03-09,0,52
2021-03-09,1,46
2021-03-09,2,46
2021-03-09,3,46
2021-03-09,4,47
2021-03-09,5,47
2021-03-09,6,55
2021-03-09,7,62
2021-03-09,8,71
2021-03-09,9,75
2021-03-09,10,71
2021-03-09,11,70
2021-03-09,12,74
2021-03-09,13,73
2021-03-09,14,72
2021-03-09,15,73
2021-03-09,16,78
2021-03-09,17,83
2021-03-09,18,85
2021-03-09,19,82
2021-03-09,20,75
2021-03-09,21,71
2021-03-09,22,66
2021-03-09,23,60
2021-03-10,0,62
2021-03-10,1,56
2021-03-10,2,56
2021-03-10,4,52
2021-03-10,6,55
2021-03-10,7,62
2021-03-10,8,70
2021-03-10,9,75
2021-03-10,10,71
2021-03-10,11,69
2021-03-10,12,73
2021-03-10,13,72
2021-03-10,14,71
2021-03-10,15,73
2021-03-10,16,79
2021-03-10,17,84
2021-03-10,18,85
2021-03-10,19,82
2021-03-10,20,75
2021-03-10,21,72
2021-03-10,22,67
2021-03-10,23,62
2021-03-11,0,58
2021-03-11,2,55
2021-03-11,3,54
2021-03-11,4,49
2021-03-11,5,49
2021-03-11,6,52
2021-03-11,7,58
2021-03-11,8,67
2021-03-11,9,71
2021-03-11,10,67
2021-03-11,11,69
2021-03-11,12,73
2021-03-11,13,72
2021-03-11,14,72
2021-03-11,15,72
2021-03-11,16,77
2021-03-11,17,81
2021-03-11,18,82
2021-03-11,19,79
2021-03-11,20,71
2021-03-11,21,67
2021-03-11,22,63
2021-03-11,23,57
2021-03-12,0,60
2021-03-12,1,58
2021-03-12,2,58
2021-03-12,4,53
2021-03-12,5,53
2021-03-12,6,56
2021-03-12,7,61
2021-03-12,8,70
2021-03-12,9,75
2021-03-12,10,77
2021-03-12,11,84
2021-03-12,12,91
2021-03-12,13,91
2021-03-12,14,90
2021-03-12,15,90
2021-03-12,16,93
2021-03-12,17,94
2021-03-12,18,92
2021-03-12,19,84
2021-03-12,20,78
2021-03-12,21,75
2021-03-12,22,70
2021-03-12,23,64
2021-03-13,0,57
2021-03-13,1,56
2021-03-13,2,56
2021-03-13,5,49
2021-03-13,6,51
2021-03-13,7,56
2021-03-13,8,62
2021-03-13,9,75
2021-03-13,10,86
2021-03-13,11,100
2021-03-13,12,111
2021-03-13,13,116
2021-03-13,14,116
2021-03-13,15,116
2021-03-13,16,111
2021-03-13,17,107
2021-03-13,18,102
2021-03-13,19,91
2021-03-13,20,79
2021-03-13,21,74
2021-03-13,22,67
2021-03-13,23,60
2021-03-14,0,60
2021-03-14,1,59
2021-03-14,2,59
2021-03-14,3,55
2021-03-14,5,50
2021-03-14,6,51
2021-03-14,7,57
2021-03-14,8,61
2021-03-14,9,71
2021-03-14,10,77
2021-03-14,11,91
2021-03-14,12,101
2021-03-14,13,106
2021-03-14,14,105
2021-03-14,15,106
2021-03-14,16,99
2021-03-14,17,95
2021-03-14,18,91
2021-03-14,19,83
2021-03-14,20,73
2021-03-14,21,68
2021-03-14,22,62
2021-03-14,23,56
2021-03-15,0,60
2021-03-15,1,57
2021-03-15,2,56
2021-03-15,4,53
2021-03-15,5,54
2021-03-15,6,57
2021-03-15,7,66
2021-03-15,8,73
2021-03-15,9,78
2021-03-15,10,75
2021-03-15,11,73
2021-03-15,12,80
2021-03-15,13,78
2021-03-15,14,76
2021-03-15,15,74
2021-03-15,16,79
2021-03-15,17,84
2021-03-15,18,85
2021-03-15,19,81
2021-03-15,20,73
2021-03-15,21,67
2021-03-15,22,62
2021-03-15,23,56
2021-03-16,0,59
2021-03-16,1,57
2021-03-16,2,57
2021-03-16,4,53
2021-03-16,5,53
2021-03-16,6,57
2021-03-16,7,66
2021-03-16,8,72
2021-03-16,9,76
2021-03-16,10,73
2021-03-16,11,71
2021-03-16,12,75
2021-03-16,13,73
2021-03-16,14,72
2021-03-16,15,71
2021-03-16,16,77
2021-03-16,17,82
2021-03-16,18,83
2021-03-16,19,79
2021-03-16,20,72
2021-03-16,21,68
2021-03-16,22,63
2021-03-16,23,62
2021-03-17,0,60
2021-03-17,1,57
2021-03-17,2,56
2021-03-17,4,52
2021-03-17,5,53
2021-03-17,6,56
2021-03-17,7,65
2021-03-17,8,71
2021-03-17,9,75
2021-03-17,10,72
2021-03-17,11,69
2021-03-17,12,74
2021-03-17,13,72
2021-03-17,14,71
2021-03-17,15,71
2021-03-17,16,77
2021-03-17,17,82
2021-03-17,18,83
2021-03-17,19,80
2021-03-17,20,73
2021-03-17,21,69
2021-03-17,22,64
2021-03-17,23,62
2021-03-18,0,56
2021-03-18,1,55
2021-03-18,2,54
2021-03-18,4,49
2021-03-18,5,49
2021-03-18,6,52
2021-03-18,7,63
2021-03-18,8,68
2021-03-18,9,72
2021-03-18,10,71
2021-03-18,11,72
2021-03-18,12,76
2021-03-18,13,75
2021-03-18,14,74
2021-03-18,15,72
2021-03-18,16,77
2021-03-18,17,81
2021-03-18,18,84
2021-03-18,19,81
2021-03-18,20,74
2021-03-18,21,70
2021-03-18,22,66
2021-03-18,23,63
2021-03-19,0,65
2021-03-19,2,61
2021-03-19,4,55
2021-03-19,5,55
2021-03-19,6,58
2021-03-19,7,67
2021-03-19,8,73
2021-03-19,9,78
2021-03-19,10,81
2021-03-19,11,88
2021-03-19,12,96
2021-03-19,13,95
2021-03-19,14,94
2021-03-19,15,92
2021-03-19,16,94
2021-03-19,17,96
2021-03-19,18,96
2021-03-19,19,87
2021-03-19,20,82
2021-03-19,21,79
2021-03-19,22,74
2021-03-19,23,72
2021-03-20,0,67
2021-03-20,1,63
2021-03-20,2,62
2021-03-20,5,54
2021-03-20,6,56
2021-03-20,7,63
2021-03-20,8,67
2021-03-20,9,80
2021-03-20,10,90
2021-03-20,11,104
2021-03-20,12,114
2021-03-20,13,120
2021-03-20,14,119
2021-03-20,15,116
2021-03-20,16,112
2021-03-20,17,107
2021-03-20,18,105
2021-03-20,19,94
2021-03-20,20,84
2021-03-20,21,79
2021-03-20,22,73
2021-03-20,23,70
2021-03-21,1,60
2021-03-21,2,59
2021-03-21,3,55
2021-03-21,5,49
2021-03-21,7,57
2021-03-21,8,61
2021-03-21,9,70
2021-03-21,10,78
2021-03-21,11,92
2021-03-21,12,102
2021-03-21,13,107
2021-03-21,14,106
2021-03-21,15,104
2021-03-21,16,98
2021-03-21,17,93
2021-03-21,18,91
2021-03-21,19,83
2021-03-21,20,75
2021-03-21,21,69
2021-03-21,22,64
2021-03-21,23,63
2021-03-22,0,70
2021-03-22,1,57
2021-03-22,2,55
2021-03-22,5,51
2021-03-22,6,54
2021-03-22,7,65
2021-03-22,8,71
2021-03-22,9,75
2021-03-22,10,74
2021-03-22,11,71
2021-03-22,12,78
2021-03-22,13,76
2021-03-22,14,73
2021-03-22,15,71
2021-03-22,16,76
2021-03-22,17,81
2021-03-22,18,84
2021-03-22,19,80
2021-03-22,21,65
2021-03-22,22,61
2021-03-22,23,59
2021-03-23,0,61
2021-03-23,1,52
2021-03-23,6,50
2021-03-23,7,61
2021-03-23,8,66
2021-03-23,9,70
2021-03-23,10,69
2021-03-23,11,66
2021-03-23,12,70
2021-03-23,13,68
2021-03-23,14,67
2021-03-23,15,65
2021-03-23,16,70
2021-03-23,17,76
2021-03-23,18,79
2021-03-23,19,75
2021-03-23,20,68
2021-03-23,21,63
2021-03-23,22,59
2021-03-23,23,57
2021-03-24,0,60
2021-03-24,2,51
2021-03-24,5,46
2021-03-24,6,50
2021-03-24,7,60
2021-03-24,8,65
2021-03-24,9,70
2021-03-24,11,66
2021-03-24,12,70
2021-03-24,13,68
2021-03-24,14,67
2021-03-24,15,65
2021-03-24,16,71
2021-03-24,17,76
2021-03-24,18,80
2021-03-24,19,76
2021-03-24,20,69
2021-03-24,21,65
2021-03-24,22,61
2021-03-24,23,59
2021-03-25,0,58
2021-03-25,1,52
2021-03-25,2,51
2021-03-25,5,44
2021-03-25,6,47
2021-03-25,7,58
2021-03-25,8,64
2021-03-25,9,68
2021-03-25,10,68
2021-03-25,11,68
2021-03-25,12,73
2021-03-25,13,72
2021-03-25,14,71
2021-03-25,15,69
2021-03-25,16,73
2021-03-25,17,78
2021-03-25,18,82
2021-03-25,19,78
2021-03-25,20,70
2021-03-25,21,66
2021-03-25,22,62
2021-03-25,23,60
2021-03-26,0,59
2021-03-26,1,53
2021-03-26,2,51
2021-03-26,5,43
2021-03-26,6,47
2021-03-26,7,57
2021-03-26,8,63
2021-03-26,9,68
2021-03-26,10,72
2021-03-26,11,78
2021-03-26,12,87
2021-03-26,13,86
2021-03-26,14,85
2021-03-26,15,82
2021-03-26,16,85
2021-03-26,17,87
2021-03-26,18,87
2021-03-26,19,78
2021-03-26,20,72
2021-03-26,21,69
2021-03-26,22,65
2021-03-26,23,62
2021-03-27,0,59
2021-03-27,1,54
2021-03-27,2,53
2021-03-27,3,49
2021-03-27,4,44
2021-03-27,6,46
2021-03-27,7,54
2021-03-27,8,58
2021-03-27,9,71
2021-03-27,10,81
2021-03-27,11,95
2021-03-27,12,107
2021-03-27,13,113
2021-03-27,14,112
2021-03-27,15,111
2021-03-27,16,106
2021-03-27,17,102
2021-03-27,18,100
2021-03-27,19,89
2021-03-27,20,80
2021-03-27,21,72
2021-03-27,22,67
2021-03-27,23,62
2021-03-28,0,38
2021-03-28,1,38
2021-03-28,2,43
2021-03-28,3,38
2021-03-28,4,33
2021-03-28,5,32
2021-03-28,7,43
2021-03-28,8,47
2021-03-28,9,56
2021-03-28,10,65
2021-03-28,11,79
2021-03-28,12,90
2021-03-28,13,96
2021-03-28,14,95
2021-03-28,15,95
2021-03-28,16,89
2021-03-28,17,85
2021-03-28,18,83
2021-03-28,19,80
2021-03-28,20,71
2021-03-28,21,64
2021-03-28,22,58
2021-03-28,23,58
2021-03-29,0,70
2021-03-29,2,60
2021-03-29,3,58
2021-03-29,4,55
2021-03-29,5,54
2021-03-29,6,58
2021-03-29,7,69
2021-03-29,8,76
2021-03-29,9,80
2021-03-29,10,80
2021-03-29,11,77
2021-03-29,12,86
2021-03-29,13,84
2021-03-29,14,82
2021-03-29,15,83
2021-03-29,16,88
2021-03-29,17,93
2021-03-29,18,96
2021-03-29,19,97
2021-03-29,20,88
2021-03-29,21,82
2021-03-29,22,77
2021-03-29,23,62
2021-03-30,0,49
2021-03-30,2,53
2021-03-30,6,51
2021-03-30,7,63
2021-03-30,8,69
2021-03-30,9,72
2021-03-30,10,70
2021-03-30,11,68
2021-03-30,12,74
2021-03-30,13,72
2021-03-30,14,72
2021-03-30,15,76
2021-03-30,16,82
2021-03-30,17,87
2021-03-30,18,90
2021-03-30,19,91
2021-03-30,20,83
2021-03-30,21,77
2021-03-30,22,73
2021-03-30,23,57
2021-03-31,1,61
2021-03-31,2,60
2021-03-31,5,54
2021-03-31,6,58
2021-03-31,7,70
2021-03-31,8,76
2021-03-31,9,79
2021-03-31,10,79
2021-03-31,11,75
2021-03-31,12,82
2021-03-31,13,80
2021-03-31,14,80
2021-03-31,15,85
2021-03-31,16,91
2021-03-31,17,97
2021-03-31,18,100
2021-03-31,19,111
2021-03-31,20,106
2021-03-31,21,103
2021-03-31,22,98
2021-03-31,23,82
2021-04-01,0,50
2021-04-01,1,45
2021-04-01,2,50
2021-04-01,6,55
2021-04-01,7,63
2021-04-01,8,75
2021-04-01,9,81
2021-04-01,10,75
2021-04-01,11,79
2021-04-01,12,84
2021-04-01,13,83
2021-04-01,14,82
2021-04-01,15,82
2021-04-01,16,87
2021-04-01,17,90
2021-04-01,18,91
2021-04-01,19,89
2021-04-01,20,82
2021-04-01,21,81
2021-04-01,22,78
2021-04-01,23,74
2021-04-02,0,54
2021-04-02,2,54
2021-04-02,5,56
2021-04-02,6,58
2021-04-02,7,65
2021-04-02,8,77
2021-04-02,9,82
2021-04-02,10,81
2021-04-02,11,90
2021-04-02,12,99
2021-04-02,13,99
2021-04-02,14,97
2021-04-02,15,97
2021-04-02,16,101
2021-04-02,17,101
2021-04-02,18,99
2021-04-02,19,93
2021-04-02,20,88
2021-04-02,21,87
2021-04-02,22,79
2021-04-02,23,76
2021-04-03,0,66
2021-04-03,1,61
2021-04-03,2,62
2021-04-03,3,61
2021-04-03,5,59
2021-04-03,6,61
2021-04-03,7,64
2021-04-03,8,72
2021-04-03,9,86
2021-04-03,10,87
2021-04-03,11,101
2021-04-03,12,113
2021-04-03,13,119
2021-04-03,14,118
2021-04-03,15,117
2021-04-03,16,113
2021-04-03,17,108
2021-04-03,18,105
2021-04-03,19,96
2021-04-03,20,86
2021-04-03,21,83
2021-04-03,22,73
2021-04-03,23,66
2021-04-04,0,67
2021-04-04,1,61
2021-04-04,2,62
2021-04-04,3,60
2021-04-04,6,57
2021-04-04,7,59
2021-04-04,8,67
2021-04-04,9,77
2021-04-04,10,79
2021-04-04,11,94
2021-04-04,12,104
2021-04-04,13,110
2021-04-04,14,109
2021-04-04,15,109
2021-04-04,16,104
2021-04-04,17,98
2021-04-04,18,95
2021-04-04,19,89
2021-04-04,20,80
2021-04-04,21,77
2021-04-04,22,68
2021-04-04,23,61
2021-04-05,0,51
2021-04-05,1,46
2021-04-05,2,46
2021-04-05,3,46
2021-04-05,5,48
2021-04-05,6,56
2021-04-05,7,63
2021-04-05,8,72
2021-04-05,9,77
2021-04-05,10,71
2021-04-05,11,70
2021-04-05,12,76
2021-04-05,13,75
2021-04-05,14,72
2021-04-05,15,71
2021-04-05,16,76
2021-04-05,17,79
2021-04-05,18,79
2021-04-05,19,77
2021-04-05,20,70
2021-04-05,21,65
2021-04-05,22,57
2021-04-05,23,50
2021-04-06,0,48
2021-04-06,1,42
2021-04-06,2,43
2021-04-06,5,44
2021-04-06,6,52
2021-04-06,7,59
2021-04-06,8,68
2021-04-06,9,73
2021-04-06,10,66
2021-04-06,11,65
2021-04-06,12,69
2021-04-06,13,68
2021-04-06,14,67
2021-04-06,15,66
2021-04-06,16,71
2021-04-06,17,75
2021-04-06,18,76
2021-04-06,19,74
2021-04-06,20,66
2021-04-06,21,64
2021-04-06,22,58
2021-04-06,23,52
2021-04-07,2,43
2021-04-07,5,44
2021-04-07,6,49
2021-04-07,7,56
2021-04-07,8,65
2021-04-07,9,70
2021-04-07,10,63
2021-04-07,11,62
2021-04-07,12,66
2021-04-07,13,65
2021-04-07,14,64
2021-04-07,15,64
2021-04-07,16,70
2021-04-07,17,73
2021-04-07,18,74
2021-04-07,19,73
2021-04-07,20,66
2021-04-07,21,64
2021-04-07,22,58
2021-04-07,23,52
2021-04-08,1,45
2021-04-08,4,44
2021-04-08,5,44
2021-04-08,6,49
2021-04-08,7,56
2021-04-08,8,65
2021-04-08,9,70
2021-04-08,10,64
2021-04-08,11,66
2021-04-08,12,71
2021-04-08,13,70
2021-04-08,14,69
2021-04-08,15,72
2021-04-08,16,76
2021-04-08,17,79
2021-04-08,18,81
2021-04-08,19,79
2021-04-08,20,72
2021-04-08,21,70
2021-04-08,22,64
2021-04-08,23,59
2021-04-09,0,52
2021-04-09,1,47
2021-04-09,2,47
2021-04-09,6,50
2021-04-09,7,56
2021-04-09,8,65
2021-04-09,9,71
2021-04-09,10,69
2021-04-09,11,77
2021-04-09,12,86
2021-04-09,13,85
2021-04-09,14,85
2021-04-09,15,87
2021-04-09,16,91
2021-04-09,17,91
2021-04-09,18,89
2021-04-09,19,83
2021-04-09,20,78
2021-04-09,21,77
2021-04-09,22,70
2021-04-09,23,65
2021-04-10,0,64
2021-04-10,1,59
2021-04-10,2,59
2021-04-10,3,56
2021-04-10,4,50
2021-04-10,6,52
2021-04-10,7,55
2021-04-10,8,63
2021-04-10,9,76
2021-04-10,10,80
2021-04-10,11,95
2021-04-10,12,106
2021-04-10,13,112
2021-04-10,14,111
2021-04-10,15,113
2021-04-10,16,110
2021-04-10,17,105
2021-04-10,18,102
2021-04-10,19,93
2021-04-10,20,83
2021-04-10,21,80
2021-04-10,22,72
2021-04-10,23,65
2021-04-11,0,55
2021-04-11,1,52
2021-04-11,2,52
2021-04-11,6,43
2021-04-11,7,46
2021-04-11,8,52
2021-04-11,9,62
2021-04-11,10,65
2021-04-11,11,79
2021-04-11,12,88
2021-04-11,13,94
2021-04-11,14,93
2021-04-11,15,93
2021-04-11,16,88
2021-04-11,17,82
2021-04-11,18,77
2021-04-11,19,70
2021-04-11,22,50
2021-04-11,23,44
2021-04-12,0,60
2021-04-12,1,57
2021-04-12,5,53
2021-04-12,6,56
2021-04-12,7,63
2021-04-12,8,72
2021-04-12,9,77
2021-04-12,10,72
2021-04-12,12,76
2021-04-12,13,75
2021-04-12,15,72
2021-04-12,16,77
2021-04-12,17,80
2021-04-12,18,80
2021-04-12,19,77
2021-04-12,20,69
2021-04-12,21,64
2021-04-12,22,58
2021-04-13,0,49
2021-04-13,5,43
2021-04-13,6,47
2021-04-13,7,56
2021-04-13,8,63
2021-04-13,9,68
2021-04-13,10,65
2021-04-13,11,63
2021-04-13,12,68
2021-04-13,13,66
2021-04-13,14,65
2021-04-13,15,65
2021-04-13,16,71
2021-04-13,17,74
2021-04-13,18,75
2021-04-13,19,72
2021-04-13,20,62
2021-04-14,0,55
2021-04-14,2,53
2021-04-14,5,50
2021-04-14,6,53
2021-04-14,7,63
2021-04-14,8,69
2021-04-14,9,74
2021-04-14,10,69
2021-04-14,11,67
2021-04-14,12,71
2021-04-14,13,70
2021-04-14,14,69
2021-04-14,15,70
2021-04-14,16,76
2021-04-14,17,79
2021-04-14,18,80
2021-04-14,19,78
2021-04-14,20,70
2021-04-14,21,68
2021-04-14,22,62
2021-04-14,23,56
2021-04-15,0,52
2021-04-15,1,51
2021-04-15,5,47
2021-04-15,6,50
2021-04-15,7,60
2021-04-15,8,66
2021-04-15,9,70
2021-04-15,10,65
2021-04-15,11,67
2021-04-15,12,72
2021-04-15,13,71
2021-04-15,14,70
2021-04-15,15,70
2021-04-15,16,75
2021-04-15,17,78
2021-04-15,18,79
2021-04-15,19,76
2021-04-15,20,69
2021-04-15,21,67
2021-04-15,22,61
2021-04-15,23,56
2021-04-16,0,54
2021-04-16,1,54
2021-04-16,2,53
2021-04-16,4,48
2021-04-16,5,48
2021-04-16,6,51
2021-04-16,7,59
2021-04-16,8,65
2021-04-16,9,70
2021-04-16,10,70
2021-04-16,11,77
2021-04-16,12,85
2021-04-16,13,85
2021-04-16,14,84
2021-04-16,15,84
2021-04-16,16,87
2021-04-16,17,86
2021-04-16,18,84
2021-04-16,19,77
2021-04-16,20,72
2021-04-16,21,70
2021-04-16,22,64
2021-04-16,23,64
2021-04-17,0,57
2021-04-17,1,58
2021-04-17,2,57
2021-04-17,3,54
2021-04-17,5,49
2021-04-17,6,51
2021-04-17,7,57
2021-04-17,8,62
2021-04-17,9,74
2021-04-17,10,80
2021-04-17,11,94
2021-04-17,12,105
2021-04-17,13,111
2021-04-17,14,110
2021-04-17,15,110
2021-04-17,16,105
2021-04-17,17,99
2021-04-17,18,95
2021-04-17,19,85
2021-04-17,20,75
2021-04-17,21,71
2021-04-17,22,63
2021-04-17,23,60
2021-04-18,0,53
2021-04-18,1,52
2021-04-18,2,52
2021-04-18,4,42
2021-04-18,6,43
2021-04-18,8,54
2021-04-18,9,64
2021-04-18,10,68
2021-04-18,11,82
2021-04-18,12,92
2021-04-18,13,97
2021-04-18,14,96
2021-04-18,15,94
2021-04-18,16,88
2021-04-18,17,82
2021-04-18,18,80
2021-04-18,19,73
2021-04-18,20,65
2021-04-18,21,61
2021-04-18,22,53
2021-04-18,23,51
2021-04-19,1,57
2021-04-19,3,54
2021-04-19,5,51
2021-04-19,6,55
2021-04-19,7,66
2021-04-19,8,72
2021-04-19,9,76
2021-04-19,10,73
2021-04-19,11,70
2021-04-19,12,77
2021-04-19,13,74
2021-04-19,14,72
2021-04-19,15,69
2021-04-19,16,74
2021-04-19,17,77
2021-04-19,18,80
2021-04-19,19,76
2021-04-19,20,69
2021-04-19,21,63
2021-04-19,22,57
2021-04-19,23,55
2021-04-20,0,59
2021-04-20,1,52
2021-04-20,3,50
2021-04-20,6,51
2021-04-20,7,62
2021-04-20,8,67
2021-04-20,9,71
2021-04-20,10,68
2021-04-20,11,65
2021-04-20,12,70
2021-04-20,13,68
2021-04-20,14,67
2021-04-20,15,64
2021-04-20,16,69
2021-04-20,17,73
2021-04-20,18,76
2021-04-20,19,73
2021-04-20,20,65
2021-04-20,21,63
2021-04-20,22,58
2021-04-20,23,56
2021-04-21,0,58
2021-04-21,1,51
2021-04-21,3,49
2021-04-21,5,46
2021-04-21,6,49
2021-04-21,7,60
2021-04-21,8,66
2021-04-21,9,70
2021-04-21,10,67
2021-04-21,11,64
2021-04-21,12,68
2021-04-21,13,66
2021-04-21,14,65
2021-04-21,15,64
2021-04-21,16,69
2021-04-21,17,73
2021-04-21,18,76
2021-04-21,19,73
2021-04-21,20,66
2021-04-21,21,64
2021-04-21,22,59
2021-04-21,23,57
2021-04-22,0,57
2021-04-22,1,52
2021-04-22,5,46
2021-04-22,6,49
2021-04-22,7,60
2021-04-22,8,65
2021-04-22,9,69
2021-04-22,10,67
2021-04-22,11,67
2021-04-22,12,72
2021-04-22,13,71
2021-04-22,14,70
2021-04-22,15,68
2021-04-22,16,73
2021-04-22,17,76
2021-04-22,18,79
2021-04-22,19,77
2021-04-22,20,69
2021-04-22,21,69
2021-04-22,22,64
2021-04-22,23,62
2021-04-23,0,58
2021-04-23,1,53
2021-04-23,2,51
2021-04-23,3,50
2021-04-23,4,45
2021-04-23,6,48
2021-04-23,7,58
2021-04-23,8,63
2021-04-23,9,68
2021-04-23,10,70
2021-04-23,11,76
2021-04-23,12,85
2021-04-23,13,84
2021-04-23,14,83
2021-04-23,15,81
2021-04-23,16,83
2021-04-23,17,83
2021-04-23,18,83
2021-04-23,19,76
2021-04-23,20,70
2021-04-23,21,70
2021-04-23,22,66
2021-04-23,23,63
2021-04-24,0,61
2021-04-24,1,56
2021-04-24,2,55
2021-04-24,3,51
2021-04-24,5,47
2021-04-24,7,56
2021-04-24,8,60
2021-04-24,9,73
2021-04-24,10,81
2021-04-24,11,94
2021-04-24,12,105
2021-04-24,13,111
2021-04-24,14,110
2021-04-24,15,107
2021-04-24,16,103
2021-04-24,17,96
2021-04-24,18,94
2021-04-24,19,84
2021-04-24,20,75
2021-04-24,21,72
2021-04-24,22,66
2021-04-24,23,63
2021-04-25,0,57
2021-04-25,1,51
2021-04-25,2,50
2021-04-25,6,42
2021-04-25,7,49
2021-04-25,8,53
2021-04-25,9,63
2021-04-25,10,69
2021-04-25,11,82
2021-04-25,12,92
2021-04-25,13,97
2021-04-25,14,96
2021-04-25,15,94
2021-04-25,16,88
2021-04-25,17,82
2021-04-25,18,80
2021-04-25,19,73
2021-04-25,20,64
2021-04-25,21,62
2021-04-25,22,56
2021-04-26,0,70
2021-04-26,1,55
2021-04-26,2,53
2021-04-26,4,47
2021-04-26,5,46
2021-04-26,6,50
2021-04-26,7,62
2021-04-26,8,69
2021-04-26,9,73
2021-04-26,10,70
2021-04-26,11,67
2021-04-26,12,74
2021-04-26,13,72
2021-04-26,14,69
2021-04-26,15,67
2021-04-26,16,72
2021-04-26,17,75
2021-04-26,18,78
2021-04-26,19,74
2021-04-26,20,66
2021-04-26,21,64
2021-04-26,22,59
2021-04-27,0,59
2021-04-27,5,42
2021-04-27,6,47
2021-04-27,7,59
2021-04-27,8,64
2021-04-27,9,68
2021-04-27,10,66
2021-04-27,11,63
2021-04-27,12,69
2021-04-27,13,67
2021-04-27,14,66
2021-04-27,15,65
2021-04-27,16,71
2021-04-27,17,75
2021-04-27,18,78
2021-04-27,19,74
2021-04-27,20,66
2021-04-27,21,64
2021-04-27,22,59
2021-04-27,23,56
2021-04-28,0,50
2021-04-28,3,51
2021-04-28,4,47
2021-04-28,5,46
2021-04-28,6,50
2021-04-28,7,63
2021-04-28,8,68
2021-04-28,9,72
2021-04-28,10,70
